product_id,category,title,brand,region_id,vendor_name,vendor_locality,platform,seller_type,base_rupees,base_unit,base_rupees_per_canonical,unit_canonical,gst_treatment,gst_rate_pct,hsn,freight_rupees,handling_rupees,loading_rupees,landed_rupees_per_canonical,landed_rupees_per_trade_unit,moq_qty,moq_unit,stock_state,lead_time_days,cert_state,cert_ref,qco_regulated,rating,review_count,distance_km,vehicle_class,freight_basis,fetched_at,source_url
p_6428e4bd5b733ac2,cement,Unbranded White cement cement — 1 kg bag,,hyderabad,Sri Anantha Padmanabha Swamy Enterprises,Hyderabad,IndiaMART,dealer,1367.00,bag,68350.00,bag,EXCL,18,2523,18.00,12.50,2.00,,,,,unknown,,NOT_DECLARED,,1,,,8.41,lcv,seeded_fallback,2026-08-05T06:16:54.141Z,https://www.indiamart.com/proddetail/ncl-white-cement-23477592348.html
p_118aad9bf3316875,cement,Birla White cement cement — 1 kg bag,Birla,hyderabad,Global Electricals,Hyderabad,IndiaMART,dealer,150.00,bag,7500.00,bag,EXCL,18,2523,18.00,12.50,2.00,,,,,unknown,,BRAND_LICENSED,,1,4.3,48,9.56,lcv,seeded_fallback,2026-08-05T06:16:54.141Z,https://www.indiamart.com/proddetail/white-cement-2856782413712.html
p_a9cd3ff71b91c2e4,cement,UltraTech OPC 53 grade cement — 1 kg bag,UltraTech,hyderabad,National Trading Company,"Secunderabad, Dist. Hyderabad",IndiaMART,dealer,335.00,bag,16750.00,bag,EXCL,18,2523,22.41,12.50,2.00,,,,,unknown,,BRAND_LICENSED,,1,,,37.35,lcv,seeded_fallback,2026-08-05T06:12:14.910Z,https://www.indiamart.com/proddetail/ultratech-cement-2856800736948.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Nagarjuna Steel Enterprises,Hyderabad,IndiaMART,dealer,360.00,bag,360.00,bag,EXCL,18,2523,18.00,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,,,26.03,lcv,seeded_fallback,2026-08-05T06:17:57.079Z,https://www.indiamart.com/proddetail/bharti-ultra-fast-cement-25923719088.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Nawanirman Materials And Builders Private Limited,Hyderabad,IndiaMART,dealer,230.00,bag,230.00,bag,EXCL,18,2523,24.47,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,3.6,73,40.78,lcv,seeded_fallback,2026-08-05T06:18:11.173Z,https://www.indiamart.com/proddetail/low-cost-53-grade-cement-26587342033.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Dharmanandan Enterprise,Deals in Hyderabad,IndiaMART,dealer,305.00,bag,305.00,bag,EXCL,18,2523,25.19,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,,,41.98,lcv,seeded_fallback,2026-08-01T04:29:58.390Z,https://www.indiamart.com/proddetail/hathi-opc-cement-2851867400912.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Tirumala Steel And Cement Traders,Hyderabad,IndiaMART,dealer,335.00,bag,335.00,bag,EXCL,18,2523,18.00,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,4.2,13,19.55,lcv,seeded_fallback,2026-08-05T06:13:00.185Z,https://www.indiamart.com/proddetail/opc-cement-2849518386830.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Tirumala Steel And Cement Traders,Hyderabad,IndiaMART,dealer,335.00,bag,335.00,bag,EXCL,18,2523,18.00,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,4.2,13,19.55,lcv,seeded_fallback,2026-08-05T06:14:34.067Z,https://www.indiamart.com/proddetail/suvarna-opc-cement-2852528260530.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,Munnalal Bros,"Secunderabad, Dist. Hyderabad",IndiaMART,dealer,225.00,bag,225.00,bag,EXCL,18,2523,24.77,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,4.1,33,41.29,lcv,seeded_fallback,2026-08-05T06:13:00.185Z,https://www.indiamart.com/proddetail/mpl-opc-53-grade-2857461139812.html
p_b56eedafe17c318a,cement,Unbranded OPC 53 grade cement — 50 kg bag,,hyderabad,J B Steels And Cement Traders,Hyderabad,IndiaMART,dealer,290.00,bag,290.00,bag,EXCL,18,2523,18.00,12.50,2.00,286.20,286.20,,,unknown,,NOT_DECLARED,,1,3.6,9,20.18,lcv,seeded_fallback,2026-08-05T06:14:34.067Z,https://www.indiamart.com/proddetail/kakatiya-53-grade-cement-2854022199473.html
