product_id,category,title,brand,region_id,vendor_name,vendor_locality,platform,seller_type,base_rupees,base_unit,base_rupees_per_canonical,unit_canonical,gst_treatment,gst_rate_pct,hsn,freight_rupees,handling_rupees,loading_rupees,landed_rupees_per_canonical,landed_rupees_per_trade_unit,moq_qty,moq_unit,stock_state,lead_time_days,cert_state,cert_ref,qco_regulated,rating,review_count,distance_km,vehicle_class,freight_basis,fetched_at,source_url
p_ce10439cd1287c95,tmt_steel,Sugna TMT bar 12 mm Fe 550 × 12 m,Sugna,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46200.00,tonne,46.20,kg,INCL,18,7214,0.91,0.20,0.30,47.61,47.61,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/sugna-fe-550-12mm-tmt-steel-bar-big-b-mart/
p_feb3a057763330b1,tmt_steel,Sugna TMT bar 25 mm Fe 550 × 12 m,Sugna,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46200.00,tonne,46.20,kg,INCL,18,7214,0.91,0.20,0.30,47.61,47.61,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/sugna-fe-550-25mm-tmt-steel-bar-big-b-mart/
p_e5bad2d3331705f2,tmt_steel,AF Star TMT bar 16 mm Fe 550 × 12 m,AF Star,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46500.00,tonne,46.50,kg,INCL,18,7214,0.91,0.20,0.30,47.91,47.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/af-star-fe-550-16mm-tmt-steel-bar-big-b-mart/
p_126159f0c41004c6,tmt_steel,Vinayak TMT bar 8 mm × 12 m,Vinayak,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46500.00,tonne,46.50,kg,INCL,18,7214,0.91,0.20,0.30,47.91,47.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/vinayak-tmt-bars-8mm/
p_7dff84c4efe29831,tmt_steel,Vinayak TMT bar 10 mm × 12 m,Vinayak,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46500.00,tonne,46.50,kg,INCL,18,7214,0.91,0.20,0.30,47.91,47.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/vinayak-tmt-bars-10mm/
p_c2cff5e74c994f76,tmt_steel,Vinayak TMT bar 16 mm × 12 m,Vinayak,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46500.00,tonne,46.50,kg,INCL,18,7214,0.91,0.20,0.30,47.91,47.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/vinayak-tmt-bars-16mm/
p_3de037d8654300be,tmt_steel,Vinayak TMT bar 12 mm × 12 m,Vinayak,hyderabad,BigBMart,Hyderabad,BigBMart,platform,46500.00,tonne,46.50,kg,INCL,18,7214,0.91,0.20,0.30,47.91,47.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/vinayak-tmt-bars-12mm/
p_cbd73c129ececabc,tmt_steel,Sugna TMT bar 8 mm Fe 550 × 12 m,Sugna,hyderabad,BigBMart,Hyderabad,BigBMart,platform,47200.00,tonne,47.20,kg,INCL,18,7214,0.91,0.20,0.30,48.61,48.61,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/sugna-fe-550-8mm-tmt-steel-bar-big-b-mart/
p_6f72fade5a2c0a1b,tmt_steel,Sugna TMT bar 10 mm Fe 550 × 12 m,Sugna,hyderabad,BigBMart,Hyderabad,BigBMart,platform,47200.00,tonne,47.20,kg,INCL,18,7214,0.91,0.20,0.30,48.61,48.61,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/sugna-fe-550-10mm-tmt-steel-bar-big-b-mart/
p_73b400c3fb269d66,tmt_steel,AF Star TMT bar 10 mm Fe 550 × 12 m,AF Star,hyderabad,BigBMart,Hyderabad,BigBMart,platform,48000.00,tonne,48.00,kg,INCL,18,7214,0.91,0.20,0.30,49.41,49.41,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/af-star-fe-550-10mm-tmt-steel-bar-big-b-mart/
p_b3492b03dea1839c,tmt_steel,AF Star TMT bar 12 mm Fe 550 × 12 m,AF Star,hyderabad,BigBMart,Hyderabad,BigBMart,platform,48000.00,tonne,48.00,kg,INCL,18,7214,0.91,0.20,0.30,49.41,49.41,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/af-star-fe-550-12mm-tmt-steel-bar-big-b-mart/
p_f15163f933c51bad,tmt_steel,AF Star TMT bar 8 mm Fe 550 × 12 m,AF Star,hyderabad,BigBMart,Hyderabad,BigBMart,platform,48000.00,tonne,48.00,kg,INCL,18,7214,0.91,0.20,0.30,49.41,49.41,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/af-star-fe-550-8mm-tmt-steel-bar-big-b-mart/
p_0821e6feb01d5f27,tmt_steel,AF Star TMT bar 20 mm Fe 550 × 12 m,AF Star,hyderabad,BigBMart,Hyderabad,BigBMart,platform,48000.00,tonne,48.00,kg,INCL,18,7214,0.91,0.20,0.30,49.41,49.41,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/af-star-fe-550-20mm-tmt-steel-bar-big-b-mart/
p_008550ef5e255c7b,tmt_steel,Radha TMT bar 16 mm × 12 m,Radha,hyderabad,BigBMart,Hyderabad,BigBMart,platform,48500.00,tonne,48.50,kg,INCL,18,7214,0.91,0.20,0.30,49.91,49.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/radha-tmt-bar-16mm-fe-550-grade-radha-rhino-tmt-bar-big-b-mart/
p_7b471f139a8aa232,tmt_steel,Dwaraka TMT bar 32 mm × 12 m,Dwaraka,hyderabad,BigBMart,Hyderabad,BigBMart,platform,49500.00,tonne,49.50,kg,INCL,18,7214,0.91,0.20,0.30,50.91,50.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/dwaraka-550-32mm-tmt-steel-bar-big-b-mart/
p_016343c2d5e76a48,tmt_steel,Dwaraka TMT bar 12 mm × 12 m,Dwaraka,hyderabad,BigBMart,Hyderabad,BigBMart,platform,49500.00,tonne,49.50,kg,INCL,18,7214,0.91,0.20,0.30,50.91,50.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/dwaraka-550-12mm-tmt-steel-bar-big-b-mart/
p_2976978d96c468ed,tmt_steel,Radha TMT bar 8 mm × 12 m,Radha,hyderabad,BigBMart,Hyderabad,BigBMart,platform,49500.00,tonne,49.50,kg,INCL,18,7214,0.91,0.20,0.30,50.91,50.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/radha-tmt-bar-8mm-fe-550-grade-radha-rhino-tmt-bar-big-b-mart/
p_ee3222a311db3b4d,tmt_steel,MS Life Steel TMT bar 12 mm × 12 m,MS Life Steel,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51250.00,tonne,51.25,kg,INCL,18,7214,0.91,0.20,0.30,52.66,52.66,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/ms-life-steel-600-12mm-tmt-steel-bar-big-b-mart/
p_8ab6a54d09bbdfaa,tmt_steel,MS Life Steel TMT bar 16 mm × 12 m,MS Life Steel,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51250.00,tonne,51.25,kg,INCL,18,7214,0.91,0.20,0.30,52.66,52.66,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/ms-life-steel-600-16mm-tmt-steel-bar-big-b-mart/
p_8240b99ed189d43a,tmt_steel,MS Life Steel TMT bar 25 mm × 12 m,MS Life Steel,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51250.00,tonne,51.25,kg,INCL,18,7214,0.91,0.20,0.30,52.66,52.66,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/ms-life-steel-600-25mm-tmt-steel-bar-big-b-mart/
p_f7bf6fe23b61765a,tmt_steel,Vizag TMT bar 16 mm × 12 m,Vizag,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51500.00,tonne,51.50,kg,INCL,18,7214,0.91,0.20,0.30,52.91,52.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/16mm-vizag-tmt-bars/
p_fe9c6d26ccd4c8cf,tmt_steel,Vizag TMT bar 12 mm × 12 m,Vizag,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51500.00,tonne,51.50,kg,INCL,18,7214,0.91,0.20,0.30,52.91,52.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/vizag-tmt-bars-12mm/
p_6150efababcbfdef,tmt_steel,Vizag TMT bar 20 mm × 12 m,Vizag,hyderabad,BigBMart,Hyderabad,BigBMart,platform,51500.00,tonne,51.50,kg,INCL,18,7214,0.91,0.20,0.30,52.91,52.91,,,unknown,,BRAND_LICENSED,,1,,,37.78,tempo,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/20mm-vizag-tmt-bars/
